file,finding_key,finding_title,finding_id,severity,detection_rate,detections,n_runs,ci_lo_95,ci_hi_95,conf_mean,conf_std,conf_min,conf_max,source_hyp_ids,stable,gate_pass,gate_fail,gate_needs_human,gate_consistency
WebGoat_dbtest.aspx.cs,potential sql injection via configuration file updates|Medium,Potential SQL Injection via Configuration File Updates,,Medium,0.6000,6,10,0.3127,0.8318,0.8500,0.0000,0.8500,0.8500,HYP-002,no,0,10,0,1.0000
WebGoat_dbtest.aspx.cs,insecure direct object reference in configuration handling|Medium,Insecure Direct Object Reference in Configuration Handling,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-003,yes,0,10,0,1.0000
WebGoat_dbtest.aspx.cs,hardcoded database connection strings in configuration files|High,Hardcoded Database Connection Strings in Configuration Files,,High,0.6000,6,10,0.3127,0.8318,0.9000,0.0000,0.9000,0.9000,HYP-006,no,0,10,0,1.0000
WebGoat_dbtest.aspx.cs,unrestricted database rebuild access|High,Unrestricted Database Rebuild Access,,High,0.6000,6,10,0.3127,0.8318,0.9500,0.0000,0.9500,0.9500,HYP-007,no,0,10,0,1.0000
WebGoat_dbtest.aspx.cs,lack of input validation in configuration updates|Medium,Lack of Input Validation in Configuration Updates,,Medium,0.4000,4,10,0.1682,0.6873,0.9000,0.0000,0.9000,0.9000,HYP-004,no,0,10,0,1.0000
WebGoat_dbtest.aspx.cs,denial of service via malformed configuration inputs|Medium,Denial of Service via Malformed Configuration Inputs,,Medium,0.4000,4,10,0.1682,0.6873,0.9000,0.0000,0.9000,0.9000,HYP-006,no,0,10,0,1.0000
WebGoat_dbtest.aspx.designer.cs,hardcoded database credentials in ui controls|High,Hardcoded Database Credentials in UI Controls,,High,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-001,yes,0,6,4,0.6000
WebGoat_dbtest.aspx.designer.cs,missing authorization check on database rebuild functionality|Critical,Missing Authorization Check on Database Rebuild Functionality,,Critical,0.6000,6,10,0.3127,0.8318,0.3000,0.0000,0.3000,0.3000,HYP-002,no,0,6,4,0.6000
WebGoat_dbtest.aspx.designer.cs,potential exposure of sensitive data via ui controls|Medium,Potential Exposure of Sensitive Data via UI Controls,,Medium,0.6000,6,10,0.3127,0.8318,0.3000,0.0000,0.3000,0.3000,HYP-003,no,0,6,4,0.6000
WebGoat_dbtest.aspx.designer.cs,missing authorization check on database rebuild functionality|High,Missing Authorization Check on Database Rebuild Functionality,,High,0.4000,4,10,0.1682,0.6873,0.3000,0.0000,0.3000,0.3000,HYP-002,no,0,6,4,0.6000
WebGoat_dbtest.aspx.designer.cs,potential sql injection vulnerability via user input|High,Potential SQL Injection Vulnerability via User Input,,High,0.4000,4,10,0.1682,0.6873,0.3000,0.0000,0.3000,0.3000,HYP-003,no,0,6,4,0.6000
